term,world,category,part_of_speech,notes
red,W01,colors,adjective,
blue,W01,colors,adjective,
yellow,W01,colors,adjective,
green,W01,colors,adjective,
orange,W01,colors,adjective,review in W04
pink,W01,colors,adjective,
purple,W01,colors,adjective,
black,W01,colors,adjective,
white,W01,colors,adjective,
brown,W01,colors,adjective,
grey,W01,colors,adjective,
circle,W01,shapes,noun,
square,W01,shapes,noun,
triangle,W01,shapes,noun,
star,W01,shapes,noun,review in W09
heart,W01,shapes,noun,
line,W01,shapes,noun,
big,W01,size_quality,adjective,review in W09
small,W01,size_quality,adjective,review in W09
long,W01,size_quality,adjective,review in W09
short,W01,size_quality,adjective,review in W09
new,W01,size_quality,adjective,
old,W01,size_quality,adjective,
good,W01,size_quality,adjective,
nice,W01,size_quality,adjective,
clean,W01,size_quality,adjective,
dirty,W01,size_quality,adjective,
ball,W01,objects,noun,
box,W01,objects,noun,review in W03
kite,W01,objects,noun,
toy,W01,objects,noun,review in W03
door,W01,objects,noun,review in W03
book,W01,objects,noun,review in W05
flower,W01,objects,noun,review in W08
cat,W02,animals,noun,
dog,W02,animals,noun,
bird,W02,animals,noun,
fish,W02,animals,noun,review in W04
duck,W02,animals,noun,
chicken,W02,animals,noun,review in W04
cow,W02,animals,noun,
horse,W02,animals,noun,
sheep,W02,animals,noun,
goat,W02,animals,noun,
mouse,W02,animals,noun,
rabbit,W02,animals,noun,
frog,W02,animals,noun,
monkey,W02,animals,noun,
tiger,W02,animals,noun,
lion,W02,animals,noun,
elephant,W02,animals,noun,
giraffe,W02,animals,noun,
crocodile,W02,animals,noun,
snake,W02,animals,noun,
spider,W02,animals,noun,
bee,W02,animals,noun,
butterfly,W02,animals,noun,
bear,W02,animals,noun,
tail,W02,features,noun,
wing,W02,features,noun,
leg,W02,features,noun,review in W06
eye,W02,features,noun,review in W06
ear,W02,features,noun,review in W06
mouth,W02,features,noun,review in W06
young,W02,qualities,adjective,
fast,W02,qualities,adjective,
slow,W02,qualities,adjective,
happy,W02,qualities,adjective,
angry,W02,qualities,adjective,
funny,W02,qualities,adjective,
house,W03,rooms,noun,
home,W03,rooms,noun,
bedroom,W03,rooms,noun,
bathroom,W03,rooms,noun,
kitchen,W03,rooms,noun,
living room,W03,rooms,noun,
garden,W03,rooms,noun,
bed,W03,furniture,noun,
chair,W03,furniture,noun,
table,W03,furniture,noun,
sofa,W03,furniture,noun,
lamp,W03,furniture,noun,
clock,W03,furniture,noun,
mirror,W03,furniture,noun,
cupboard,W03,furniture,noun,
shelf,W03,furniture,noun,
window,W03,furniture,noun,
doll,W03,home_objects,noun,
teddy,W03,home_objects,noun,
picture,W03,home_objects,noun,review in W05
radio,W03,home_objects,noun,
television,W03,home_objects,noun,
phone,W03,home_objects,noun,
computer,W03,home_objects,noun,
in,W03,prepositions,preposition,
on,W03,prepositions,preposition,
under,W03,prepositions,preposition,
behind,W03,prepositions,preposition,review in W07
next to,W03,prepositions,preposition,review in W07
apple,W04,fruit,noun,
banana,W04,fruit,noun,
lemon,W04,fruit,noun,
lime,W04,fruit,noun,
pear,W04,fruit,noun,
grape,W04,fruit,noun,
watermelon,W04,fruit,noun,
mango,W04,fruit,noun,
pineapple,W04,fruit,noun,
strawberry,W04,fruit,noun,
bread,W04,food,noun,
cake,W04,food,noun,
egg,W04,food,noun,
rice,W04,food,noun,
meat,W04,food,noun,
cheese,W04,food,noun,
burger,W04,food,noun,
sandwich,W04,food,noun,
ice cream,W04,food,noun,
soup,W04,food,noun,
water,W04,drink,noun,
milk,W04,drink,noun,
juice,W04,drink,noun,
breakfast,W04,meal_words,noun,
lunch,W04,meal_words,noun,
dinner,W04,meal_words,noun,
hungry,W04,meal_words,adjective,
thirsty,W04,meal_words,adjective,
like,W04,meal_words,verb,
want,W04,meal_words,verb,
school,W05,school,noun,review in W07
classroom,W05,school,noun,
teacher,W05,school,noun,
student,W05,school,noun,
friend,W05,school,noun,review in W10
desk,W05,school,noun,
board,W05,school,noun,
notebook,W05,school,noun,
pen,W05,school,noun,
pencil,W05,school,noun,
ruler,W05,school,noun,
eraser,W05,school,noun,
bag,W05,school,noun,
paper,W05,school,noun,
question,W05,school,noun,
answer,W05,school,noun,
read,W05,actions,verb,review in W10
write,W05,actions,verb,
draw,W05,actions,verb,
colour,W05,actions,verb,
listen,W05,actions,verb,
look,W05,actions,verb,
open,W05,actions,verb,
close,W05,actions,verb,
sit,W05,actions,verb,
stand,W05,actions,verb,
spell,W05,actions,verb,
say,W05,actions,verb,
head,W06,body,noun,
hair,W06,body,noun,
face,W06,body,noun,
nose,W06,body,noun,
tooth,W06,body,noun,
neck,W06,body,noun,
arm,W06,body,noun,
hand,W06,body,noun,
finger,W06,body,noun,
foot,W06,body,noun,
run,W06,actions,verb,
walk,W06,actions,verb,
jump,W06,actions,verb,
hop,W06,actions,verb,
swim,W06,actions,verb,
dance,W06,actions,verb,
sing,W06,actions,verb,
clap,W06,actions,verb,
wave,W06,actions,verb,
sleep,W06,actions,verb,review in W10
eat,W06,actions,verb,review in W10
drink,W06,actions,verb,
play,W06,actions,verb,review in W10
catch,W06,actions,verb,
throw,W06,actions,verb,
shirt,W06,clothes,noun,
T-shirt,W06,clothes,noun,
dress,W06,clothes,noun,
skirt,W06,clothes,noun,
trousers,W06,clothes,noun,
shorts,W06,clothes,noun,
shoe,W06,clothes,noun,
sock,W06,clothes,noun,
hat,W06,clothes,noun,review in W08
jacket,W06,clothes,noun,
can,W06,ability,function word,
cannot,W06,ability,function word,
car,W07,transport,noun,
bus,W07,transport,noun,
bike,W07,transport,noun,
train,W07,transport,noun,
plane,W07,transport,noun,
boat,W07,transport,noun,
ship,W07,transport,noun,
helicopter,W07,transport,noun,
street,W07,places,noun,
road,W07,places,noun,
park,W07,places,noun,
shop,W07,places,noun,
hospital,W07,places,noun,
station,W07,places,noun,
airport,W07,places,noun,
zoo,W07,places,noun,
beach,W07,places,noun,
left,W07,directions,noun,
right,W07,directions,noun,
up,W07,directions,noun,
down,W07,directions,noun,
straight,W07,directions,noun,
here,W07,directions,noun,
there,W07,directions,noun,
near,W07,position,preposition,
between,W07,position,preposition,
in front of,W07,position,preposition,
sun,W08,weather,noun,
sunny,W08,weather,adjective,
rain,W08,weather,noun,
rainy,W08,weather,adjective,
cloud,W08,weather,noun,
cloudy,W08,weather,adjective,
wind,W08,weather,noun,
windy,W08,weather,adjective,
snow,W08,weather,noun,
hot,W08,weather,adjective,
cold,W08,weather,adjective,
warm,W08,weather,adjective,
day,W08,day_time,noun,
night,W08,day_time,noun,
morning,W08,day_time,noun,
afternoon,W08,day_time,noun,
evening,W08,day_time,noun,
today,W08,day_time,noun,
umbrella,W08,weather_items,noun,
coat,W08,weather_items,noun,
boots,W08,weather_items,noun,
glasses,W08,weather_items,noun,
sky,W08,nature,noun,review in W09
tree,W08,nature,noun,
river,W08,nature,noun,
sea,W08,nature,noun,
one,W09,numbers,noun,review in W09
two,W09,numbers,noun,review in W09
three,W09,numbers,noun,
four,W09,numbers,noun,
five,W09,numbers,noun,
six,W09,numbers,noun,
seven,W09,numbers,noun,
eight,W09,numbers,noun,
nine,W09,numbers,noun,
ten,W09,numbers,noun,
eleven,W09,numbers,noun,
twelve,W09,numbers,noun,
thirteen,W09,numbers,noun,
fourteen,W09,numbers,noun,
fifteen,W09,numbers,noun,
sixteen,W09,numbers,noun,
seventeen,W09,numbers,noun,
eighteen,W09,numbers,noun,
nineteen,W09,numbers,noun,
twenty,W09,numbers,noun,
many,W09,quantity,noun,
more,W09,quantity,noun,
less,W09,quantity,noun,
all,W09,quantity,noun,
some,W09,quantity,noun,
same,W09,comparison,adjective,
different,W09,comparison,adjective,
moon,W09,space,noun,
planet,W09,space,noun,
rocket,W09,space,noun,
family,W10,family,noun,
mother,W10,family,noun,
father,W10,family,noun,
mum,W10,family,noun,
dad,W10,family,noun,
brother,W10,family,noun,
sister,W10,family,noun,
baby,W10,family,noun,
grandmother,W10,family,noun,
grandfather,W10,family,noun,
boy,W10,people,noun,
girl,W10,people,noun,
child,W10,people,noun,
children,W10,people,noun,
man,W10,people,noun,
woman,W10,people,noun,
wake up,W10,routine,verb,
get up,W10,routine,verb,
wash,W10,routine,verb,
go,W10,routine,verb,
come,W10,routine,verb,
what,W10,question_words,question word,
where,W10,question_words,question word,
who,W10,question_words,question word,
how,W10,question_words,question word,
which,W10,question_words,question word,
this,W10,function,function word,
that,W10,function,function word,
these,W10,function,function word,
those,W10,function,function word,
my,W10,function,function word,
your,W10,function,function word,
his,W10,function,function word,
her,W10,function,function word,
is,W10,function,function word,
are,W10,function,function word,
has,W10,function,function word,
have,W10,function,function word,
and,W10,function,function word,
but,W10,function,function word,
yes,W10,function,function word,
no,W10,function,function word,
please,W10,function,function word,
thank you,W10,function,function word,
